batch_id,batch_num,language,topic,register_mix,focus,status,stream_tag,model,items_requested,items_kept,items_rejected,prompt_tokens,cached_tokens,completion_tokens,total_tokens,cache_hit_pct,cost_inr,cum_cost_inr,error_type,error_message,started_at,finished_at,timestamp_utc
70,57,bn,work and deadlines,"70% casual spoken, 20% formal, 10% urban_mixed (English loanwords)",thinking|hesitating|clarifying_question,done,,gemma4,,1,0,903,0,103,1006,0.0,0.0424743,23.109179299999997,,,,2026-08-23T22:54:19Z,2026-08-23T22:54:19Z
71,87,bn,family and home,"50% urban_mixed code-switched with English loanwords, 30% casual, 20% formal",agreeing|positive_ack|encouraging,done,,gemma4,,0,40,905,836,3039,3944,92.37569060773481,0.29207218,32.67916155999999,,,,2026-08-23T22:54:59Z,2026-08-23T22:54:59Z
72,87,bn,tech support,"70% casual spoken, 20% formal, 10% urban_mixed (English loanwords)",negative_ack|skeptical|impatient,done,,gemma4,,21,20,902,836,3427,4329,92.6829268292683,0.32746438,24.362512669999994,,,,2026-08-23T22:54:58Z,2026-08-23T22:54:58Z
73,87,bn,travel plans,"60% formal polite, 30% casual, 10% urban_mixed",no_filler|no_filler|thinking,done,,gemma4,,24,17,899,839,3316,4215,93.32591768631814,0.31712946999999997,29.82096130999999,,,,2026-08-23T22:54:59Z,2026-08-23T22:54:59Z
74,87,bn,small talk,"60% formal polite, 30% casual, 10% urban_mixed",surprised|excited|empathetic,done,,gemma4,,15,25,895,836,2976,3871,93.40782122905028,0.28594168,30.41247142999999,,,,2026-08-23T22:54:59Z,2026-08-23T22:54:59Z
75,87,bn,complaints and frustration,"70% casual spoken, 20% formal, 10% urban_mixed (English loanwords)",negative_ack|skeptical|impatient,done,,gemma4,,23,17,903,834,3781,4684,92.35880398671097,0.35993771999999996,31.118580699999992,,,,2026-08-23T22:54:59Z,2026-08-23T22:54:59Z
76,87,bn,friends and plans,"70% casual spoken, 20% formal, 10% urban_mixed (English loanwords)",thinking|hesitating|clarifying_question,done,,gemma4,,40,0,904,835,3611,4515,92.36725663716814,0.34439645,32.38708937999999,,,,2026-08-23T22:54:59Z,2026-08-23T22:54:59Z
77,87,bn,banking and payments,"50% urban_mixed code-switched with English loanwords, 30% casual, 20% formal",agreeing|positive_ack|encouraging,done,,gemma4,,28,14,905,835,3386,4291,92.26519337016575,0.32384555,31.77301535999999,,,,2026-08-23T22:54:59Z,2026-08-23T22:54:59Z
78,87,bn,kids and school,"70% casual spoken, 20% formal, 10% urban_mixed (English loanwords)",negative_ack|skeptical|impatient,done,,gemma4,,28,12,903,837,3461,4364,92.69102990033223,0.33058910999999996,31.44916980999999,,,,2026-08-23T22:54:59Z,2026-08-23T22:54:59Z
79,87,bn,family and home,"60% formal polite, 30% casual, 10% urban_mixed",no_filler|no_filler|thinking,done,,gemma4,,15,25,900,839,2797,3697,93.22222222222223,0.26967757000000003,32.042692929999994,,,,2026-08-23T22:54:59Z,2026-08-23T22:54:59Z
